ASV,Kingdom,Phylum,Class,Order,Family,Genus,Label
ASV02107,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,Verrucomicrobia (g. Terrimicrobium)
ASV02108,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02109,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,AKYH767,,Bacteroidetes (o. Sphingobacteriales)
ASV02110,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetes (g. Pirellula)
ASV02111,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,,Gemmatimonadetes (f. Gemmatimonadaceae)
ASV02112,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Proteobacteria (c. Gammaproteobacteria)
ASV02113,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Proteobacteria (c. Alphaproteobacteria)
ASV02114,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Proteobacteria (g. Bdellovibrio)
ASV02115,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Proteobacteria (g. Bdellovibrio)
ASV02116,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Verrucomicrobia (g. Prosthecobacter)
ASV02117,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,,Proteobacteria (o. Rickettsiales)
ASV02118,Bacteria,Planctomycetes,OM190,,,,Planctomycetes
ASV02119,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV02120,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Proteobacteria (g. Sandaracinus)
ASV02121,Bacteria,Bacteroidetes,Bacteroidia,,,,Bacteroidetes (c. Bacteroidia)
ASV02122,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Proteobacteria (o. Rickettsiales)
